run_id,test_id,test_title,tags,layer,domain,risk,suite,status,duration_ms,retry_count,error_message,stack_trace_hash
"8","addEmployee.spec.js::Validate Add Employee","Validate Add Employee","","","","","","failed","29174","0","Error: page.fill: value: expected string, got undefined","24754953462e4d2681b11964f7449510"
"8","addEmployee.spec.js::Validate Add Employee","Validate Add Employee","","","","","","failed","11904","1","Error: page.fill: value: expected string, got undefined","24754953462e4d2681b11964f7449510"
"8","addEmployee.spec.js::Validate Add Employee","Validate Add Employee","","","","","","failed","11238","2","Error: page.fill: value: expected string, got undefined","24754953462e4d2681b11964f7449510"
"8","employee.spec.js::Add Employee","Add Employee","","","","","","timedOut","64713","0","[31mTest timeout of 60000ms exceeded.[39m","9a8941710dddfe195d1729adf4ebf1f9"
"8","employee.spec.js::Add Employee","Add Employee","","","","","","timedOut","68290","1","[31mTest timeout of 60000ms exceeded.[39m","9a8941710dddfe195d1729adf4ebf1f9"
"8","employee.spec.js::Add Employee","Add Employee","","","","","","timedOut","64202","2","[31mTest timeout of 60000ms exceeded.[39m","9a8941710dddfe195d1729adf4ebf1f9"
"8","login.spec.js::@ui @login @critical @smoke TestService","@ui @login @critical @smoke TestService","","","","","","passed","20520","0","",""
"8","mockresp.spec.js::Mock API Integration Test","Mock API Integration Test","","","","","","passed","7059","0","",""
"8","selectservices.spec.js::TestSelectCategory - Cleaning","TestSelectCategory - Cleaning","","","","","","passed","8493","0","",""
"8","selectservices.spec.js::TestSelectCategory - Cooking","TestSelectCategory - Cooking","","","","","","failed","4937","0","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoBeTruthy[2m()[22m Received: [31mfalse[39m","ff70973d154b42b85475f6642fa3b10f"
"8","selectservices.spec.js::TestSelectCategory - Cooking","TestSelectCategory - Cooking","","","","","","passed","20686","1","",""
"8","selectservices.spec.js::TestSelectCategory - BabySitting","TestSelectCategory - BabySitting","","","","","","passed","7613","0","",""
"8","selectservices.spec.js::TestSelectCategory - Driving","TestSelectCategory - Driving","","","","","","passed","5637","0","",""
"8","selectservices.spec.js::@ui @services @category @high @regression SelectCategory - Cleaning","@ui @services @category @high @regression SelectCategory - Cleaning","","","","","","failed","9562","0","Error: [2mexpect([22m[31mreceived[39m[2m).[22mtoBeTruthy[2m()[22m Received: [31mfalse[39m","3856847ca2b161c3d29a789b8cc11b93"
"8","selectservices.spec.js::@ui @services @category @high @regression SelectCategory - Cleaning","@ui @services @category @high @regression SelectCategory - Cleaning","","","","","","passed","11336","1","",""
"8","test_servicepage.spec.js::Get product list and display count and names","Get product list and display count and names","","","","","","passed","3643","0","",""
